이름,레시피재료,레시피,종류,재료,방법,테마,기념일,도구
딸기케이크,"핫케이크믹스1kg 300g, 딸기쨈 500g 4T, 달콤한 케이크시럽220g 약간, 플레인 요거트 100g, 달걀 1개 설탕 2T, 딸기 6개 슈가파우더 약간, 우유 150ml, 식용유 약간","오뚜기 핫케이크믹스와 함께라면 남녀노소 누구나 좋아하는 딸기케이크를 쉽게 만들 수 있습니다. 케이크 시트 반죽에 딸기쨈을 더해 딸기향을 진하게 즐길 수 있습니다. 연말, 생일 등 특별한 날에 가족 또는 친구들과 함께 나만의 케이크 만들기에 도전해보는 것은 어떨까요?

Step 1 볼에 달걀과 설탕을 넣고 섞어준다.

Step 2 1번의 볼에 요거트, 딸기쨈, 핫케이크 믹스, 우유를 넣어 반죽한다.

Step 3 케이크 틀은 약간의 오일로 코팅한다.

Step 4 틀에 반죽을 담고 180도로 예열한 오븐에서 20분간 굽는다.

Step 5 구워진 시트는 한 김 식힌 후 그릇에 옮긴다.

Step 6 시트 겉면에 케이크 시럽을 바른 뒤 딸기를 올려 데코한다.

Step 7 딸기 위에 케이크 시럽을 취향에 맞게 뿌리고 슈가 파우더로 데코하여 완성한다. Tip. 케이크 시트를 가로로 절단하여 삼등분 한 후 딸기와 반복하여 쌓으면 더욱 풍성한 케이크를 완성할 수 있습니다.",디저트,"유제품, 기타",구이,"간식, 파티, 키즈셰프, 키즈푸드, 부드러운 식감, 간단 꿀조합","생일, 크리스마스",오븐
호떡 꽈배기,"찹쌀호떡믹스1팩(540g), 따뜻한 물250ml, 프레스코 카놀라유유탕용, 슈가파우더 약간, , (또는 인절미가루)","오랜 시간 동안 간식으로 사랑 받아온 꽈배기는 이제 시장뿐 아니라 베이커리, 지하상가 등 다양한 곳에서 만날 수 있습니다. 카스텔라 가루나 생크림을 묻힌 꽈배기 등 종류도 다양해졌는데요. 설탕과 시나몬을 속에 넣어 만든 호떡 꽈배기는 어떨까요? 길게 만든 반죽 두 가닥을 꼬아서 나만의 달콤하고 쫄깃한 꽈배기를 만들어보세요.

Step 1 따뜻한 물에 이스트를 녹이고 찹쌀호떡믹스를 넣어 반죽한다.

Step 2 반죽을 한 덩어리로 고르게 뭉치도록 반죽한다.

Step 3 큰 반죽을 6개의 덩어리로 소분한다.

Step 4 소분한 반죽을 가로로 밀어 준 후 쨈믹스를 올려준다.

Step 5 쨈믹스가 새어 나오지 않게 반죽을 꼬집어 봉합한다.

Step 6 반죽이 터지지 않게 길게 늘려준다.

Step 7 꽈배기 모양으로 꼬아준다.

Step 8 꼬아준 꽈배기는 풀리지 않도록 끝을 서로 이어준다.

Step 9 160℃로 예열한 카놀라유에 5분간 노릇하게 튀겨준다.

Step 10 슈가 파우더(또는 인절미가루)를 뿌려 완성한다.Tip. 남은 쨈믹스를 꽈배기에 뿌려 주어도 좋습니다!",디저트,기타,튀김,간식,생일,후라이팬
여름과일샐러드,"레드와인 발사믹드레싱2T(30g), 프레스코압착올리브유1/2t(7g), 통후추약간, 참외1/2개(120g), 소금약간, 자두1개(100g), 천도복숭아1/2개(150g), 오이1/3개(60g)","냉장고에 남아있는 과일을 먹기 좋은 크기로 잘라서 샐러드로 완성해볼까요?_x000D_ 후추, 올리브유와 발사믹드레싱을 약간만 두르면 여름 느낌 가득한 과일 샐러드 완성입니다._x000D_

Step 1 천도복숭아와 자두는 씨를 제거하고 먹기 좋은 크기로 자른다.

Step 2 오이는 슬라이스 하고 참외는 씨를 제거하여 먹기 좋은 크기로 자른다.

Step 3 레드와인 발사믹드레싱에 올리브유, 소금, 통후추가루를 더해 고르게 완성한다.

Step 4 볼에 손질한 채소들을 담고 완성한 드레싱을 넣고 버무린다.",디저트,채소,무침·비빔,"스피드, 브런치, 간식, 도시락, 채식",생일,기타
명란마늘빵,"프레스코 명란오일5T(75g), 골드 마요네스4T(40g), 연유3T(45g), 미니바게트200g, 파슬리가루1t(0.3g), 다진 마늘50g, 백설탕1T(10g)","Step 1 다진 마늘과 명란오일, 백설탕, 연유, 파슬리가루, 마요네스를 섞어 마늘소스를 만든다.

Step 2 미니바게트는 1cm 너비로 슬라이스하고 마늘소스를 듬뿍 바른다.

Step 3 155도로 예열한 에어프라이어에 15분 조리하고 바게트를 뒤집어 다시 한 번 15분간 조리(총 30분)해 완성한다.",디저트,기타,구이,"브런치, 간식, 파티, 키즈셰프","생일, 크리스마스",에어프라이어
솔티드 딸바 크레페,"핫케이크가루1/2봉(250g), 솔티드카라멜시럽60g, 딸기9개(25gX9), 바나나2개(80gX2), 우유200ml, 달걀1개(50g), 슈가파우더약간, 프레스코 카놀라유약간","Step 1 우유와 달걀을 섞은 후 핫케이크가루를 더해 크레페 반죽을 만든다.

Step 2 후라이팬에 카놀라유를 두르고 반죽을 한 국자씩 얇게 펴서 크레페를 굽는다.*인당 3장의 크레페가 나옵니다.

Step 3 딸기와 바나나는 먹기 좋게 자른다.

Step 4 접시에 크레페와 과일을 담아내고 슈가파우더와 솔티드카라멜시럽을 더해 완성한다.",디저트,"계란, 유제품","구이, 기타",브런치,"생일, 크리스마스",후라이팬
치즈인절미토스트,"오뚜기 요리용꿀 2T, 오뚜기 라망 슈레드치즈 1/2봉, 인절미 5조각, 오뚜기 잣 호두 율무차 1봉, 식빵 2장, 아몬드 슬라이스 1/2T","Step 1 두 장의 식빵 모두 한 면에 꿀을 바른다.

Step 2 꿀 바른 한 장의 식빵 위에 인절미를 잘라 올리고 치즈를 뿌린다.

Step 3 나머지 식빵으로 덮은 후 율무차 가루를 뿌리고 에어프라이어 160도에 15분간 가열한다.

Step 4 그릇에 담고 아몬드 슬라이스를 더해 완성한다.",디저트,,,"브런치, 야식, 간식, 도시락, 1인분, 키즈셰프, 키즈푸드, 간단 꿀조합",,에어프라이어
치즈감자호떡,"초간편 감자전믹스 1/2봉(100g), 찹쌀호떡믹스 1팩(540g), 슈레드치즈 모짜렐라 1봉(70g), 차가운 물 300ml, 따뜻한 물 250ml, 프레스코 해바라기유 약간(20g)","겨울철 대표 간식 호떡에 치즈와 감자를 넣어 더욱 고소하고 든든한 메뉴입니다._x000D_ 초간편 감자전믹스를 활용해서 감자를 손질하는 번거로움도 줄여보세요.

Step 1 호떡믹스에 따뜻한 물을 더해 반죽을 만든다. 감자전믹스에는 물 차가운 물을 섞어준다.

Step 2 손에 해바라기유를 살짝 바른 후, 호떡반죽을 소량(약65g) 떼어 넓게 펴고 감자전믹스와 쨈 믹스, 약간의 모짜렐라를 넣어 터지지 않도록 잘 오므린다.

Step 3 예열된 후라이팬에 해바라기유를 두르고 갖은 재료를 넣고 감싼 호떡반죽을 눌러 굽는다.

Step 4 양 면이 노릇하게 4분간 구워 완성한다.","디저트, 분식",기타,구이,"브런치, 파티",생일,후라이팬
딸기오믈렛,"핫케이크가루 1/2봉(250g), 딸기 12개(360g), 생크림 180ml, 계란	1개(60g), 우유 135ml, 설탕 1T(10g), 프레스코 카놀라유 2T(20g)","Step 1 핫케이크가루에 계란과 우유를 섞어 반죽을 만든다.

Step 2 후라이팬에 카놀라유를 두르고 핫케이크 반죽을 10cm지름의 원모양으로 굽는다.

Step 3 다 구운 반죽은 뜨거울 때 살짝 구부려 가운데 크림을 채울 수 있도록 만든다.

Step 4 생크림에 설탕을 더해 휘핑 한 후 구운 반죽 사이에 샌드한다.

Step 5 깨끗이 손질한 딸기를 올린 뒤 슈가파우더를 뿌려 완성한다.",디저트,,,,,
전자레인지브라우니,"오뚜기 핫쵸코 1개 (20g), 오뚜기 쵸코 핫케이크믹스 30g, 밀크초콜릿 70g, 오뚜기 오메가3 버터 70g, 오뚜기 맛있는계란 1개, 우유 3T","Step 1 1.전자레인지용 용기에 버터와 초콜릿을 계량하고 30초씩 가열해 녹인다.

Step 2 2.녹인 버터와 초콜릿에 핫쵸코와 우유, 쵸코핫케이크믹스를 섞고 계란을 더해 섞는다.

Step 3 3.전자레인지(700W)에 1분씩 세번(총3분) 가열해 굽는다.

Step 4 4.냉장고에 1시간 이상 숙성 후 슈가파우더를 뿌려 완성한다.",디저트,계란,기타,"간식, 파티, 키즈셰프, 키즈푸드, 부드러운 식감",생일,전자레인지
에어프라이어 치즈케이크,"오뚜기 쉐이크 앤 팬 핫케이크 믹스 (치즈) 20g, 크림치즈 100g, 설탕 40g, 생크림 60ml, 우유 30ml, 계란 1개, 레몬즙 1/2t","Step 1 볼에 크림치즈와 설탕, 우유, 생크림을 담고 중탕해 녹인다.

Step 2 핫케이크 믹스, 계란, 레몬즙을 섞어 반죽한다.

Step 3 내열 유리 용기 또는 오븐용 팬에 반죽을 붓는다.

Step 4 에어프라이어 150도에 20분간 가열해 구움 색을 확인하고 130도에 20분간 더 구운 뒤 상온에 살짝 식혀 냉장고에 3시간 굳힌다.

Step 5 틀과 분리해 접시에 담아 완성한다.",디저트,"계란, 유제품",기타,"간식, 파티, 부드러운 식감","생일, 크리스마스",에어프라이어
핫쵸코무스케이크,"오뚜기 핫쵸코 5봉지(110g), 우유 450ml, 밀크초콜릿 30g, 전분가루 35g, 오뚜기 프레스코 카놀라유 약간, 코코아파우더 약간","Step 1 전자레인지 가열 가능한 볼에 핫쵸코 가루와 전분을 체치고 우유를 넣어 섞는다.

Step 2 밀크초콜릿을 작게 잘라 섞은 우유에 더해 전자레인지(700W)에 2분씩 섞어가며 3번 가열해 총 6분간 조리한다.

Step 3 반죽을 카놀라유 바른 틀에 붓고 상온에서 살짝 식힌 후 냉장고에 6시간 이상 굳힌다.

Step 4 먹기 좋은 크기로 자르고 코코아파우더를 뿌려 접시에 담아 완성한다.",디저트,기타,기타,"파티, 부드러운 식감, 셰프의 팁! 간편식 업그레이드",생일,기타
달고나 라면땅,"오뚜기 스낵면1개(108g), 오뚜기 베이킹소다한 꼬집(0.8g), 설탕8T(40g), 오뚜기 오메가3 버터2t(10g)","Step 1 스낵면 사리를 먹기 좋은 사이즈로 부순다.

Step 2 팬에 스낵면을 중불로 노릇하게 굽는다.

Step 3 구운 스낵면은 그릇에 담아둔 후 팬에 설탕을 얇게 깔고 약불로 천천히 녹인다.

Step 4 설탕이 다 녹은 후 카라멜색으로 변하면 버터를 넣고 녹인 후 베이킹소다를 넣어 빠르게 저어 준다.

Step 5 불을 끈 후 구운 스낵면을 넣어 빠르게 달고나를 입힌다.

Step 6 달고나 입힌 스낵면을 종이호일 위에 펼쳐 주고 포크나 젓가락을 사용해 빠르게 하나씩 분리시킨 후 완전히 식혀 완성한다.",디저트,기타,기타,"스피드, 야식, 파티, 간단 꿀조합",크리스마스,후라이팬
누룽지초콜릿,"밀크초콜릿 140g, 오뚜기 옛날 구수한누룽지 1봉(60g), 견과류","Step 1 초콜릿을 중탕해 녹인 후 누룽지와 섞는다.

Step 2 판에 누룽지 섞은 초콜릿을 부운 후 냉동고에서 30분간 얼려 완성한다. TIP. 초콜릿 위에 견과류를 토핑해도 좋다.",디저트,,,"캠핑, 도시락, 파티, 키즈셰프, 키즈푸드, 셰프의 팁! 간편식 업그레이드, 간단 꿀조합",크리스마스,
알리고치즈감자 식빵,"슈레드치즈 모짜렐라 1봉(70g), 빵가루 2T, 감자 3개(390g), 생크림 150ml, 오메가3 버터 2T, 순후추 약간, 소금 2t, 통식빵 1개(500g)","Step 1 감자는 껍질을 벗기고 작게 등분해 전자레인지에 5분간 익힌다.

Step 2 냄비에 익힌 감자를 으깨고 버터, 생크림을 넣어 섞는다.

Step 3 모짜렐라 치즈를 더해 약한 불에 치즈가 녹을 때까지 섞는다.

Step 4 소금과 후추로 간을 맞추고 가운데를 파낸 통식빵 속을 채운다.

Step 5 표면에 약간의 생크림을 바르고 빵가루를 묻혀 170도로 예열한 오븐에 20분간 구워 완성한다.",디저트,,,,,
딸기 요거트,"아임스틱 딸기쨈 2T, 플레인 요거트 200ml, 딸기 2개, 애플민트잎","Step 1 믹서에 딸기와 플레인요거트, 딸기쨈을 담아 곱게 간다.

Step 2 컵에 담아 애플민트 잎을 올려 완성한다. (약간의 딸기를 다이스해 올려주어도 좋다.)","디저트, 음료",유제품,,"스피드, 브런치, 야식, 간식, 키즈푸드, 부드러운 식감, 간단 꿀조합","생일, 크리스마스",
딸기 복숭아 요거트 빙수,"달콤한 딸기 시럽 215g 취향껏, 복숭아1개, 플레인요구르트1통, 설탕3숟갈, 우유1/2컵, , 물1/2컵","푹푹 찌는 더위에 생각나는 새콤달콤 빙수!_x000D_ 딸기와 복숭아가 만나면 더욱 맛있게 즐길 수 있어요._x000D_ 오뚜기 달콤한 딸기 시럽을 활용한 핑크빛 요거트 빙수로 시원하게 당 충전 UP~_x000D_

Step 1 복숭아는 껍질을 깎아낸 뒤 얇게 썬다.

Step 2 볼에 플레인 요구르트와 우유, 물, 설탕, 달콤한 딸기 시럽을 넣고 거품기로 잘 섞은 뒤 얼음틀이나 지퍼백, 밀폐용기에 붓고 냉동실에서 5시간 이상 얼린다.

Step 3 얼음을 믹서기나 강판에 갈거나 지퍼백에 넣어 방망이로 두들겨 눈꽃빙수를 만든다.

Step 4 그릇에 눈꽃빙수를 가득 담고 복숭아를 얹어준다.

Step 5 마무리로 달콤한 딸기시럽을 듬뿍 뿌려 꾸며준다.",디저트,"유제품, 기타",기타,"브런치, 간식, 파티, 키즈푸드",생일,기타
낙엽 소시지 빵,"찹쌀호떡믹스1봉, 소시지6개, 양파25g, 오뚜기 스위트콘20g, 슈레드 치즈 모짜렐라35g, 토마토 케찹10g, 골드 마요네스10g","빵집에 들리면 그냥 지나칠 수 없는 매력적인 소시지 빵!_x000D_ 집에서도 맛있게 만들 수 있다는 사실~ 알고 계셨나요? 찹쌀호떡믹스와 함께 제빵사에 도전해 보세요.

Step 1 찹쌀호떡믹스로 반죽을 만들어 준 뒤 반죽을 95g씩 6개로 나눠준다.

Step 2 반죽을 넓게 펴서 중앙에 소시지를 넣어 감싸준다.

Step 3 1cm 간격으로 아래 부분을 남기고 잘라준다.

Step 4 자른 반죽을 좌우 번갈아 펼쳐준다.

Step 5 토핑(다진양파, 스위트콘, 마요네스, 모짜렐라 치즈)를 올리고 케챂, 마요네스를 뿌려준다.

Step 6 에어프라이어 180도에 18분 돌려주면 완성","디저트, 기타",기타,"구이, 기타","브런치, 간식, 파티, 키즈푸드","생일, 크리스마스",에어프라이어
막대과자(핑거스낵),"오뚜기 넛츠 핫케이크 믹스1/2봉[200g], 오뚜기 맛있는계란1개, 슈가파우더2T, 다진 견과류2T","Step 1 볼에 계란을 풀고 다진 견과류와 넛츠 핫케이크 믹스를 섞는다. (반죽은 낱 가루가 안보일 때까지 가르듯 섞는다.)

Step 2 짤주머니에 담아 냉동고에 넣어 30분간 휴지한다.

Step 3 오븐용 팬에 유산지를 깔고 반죽을 막대모양으로 짠다.

Step 4 160도 오븐에 15분간 굽고 완전히 식힌다.

Step 5 슈가파우더를 묻혀 완성한다.",디저트,계란,기타,"야식, 간식",,오븐
마약토스트,"식빵 1장, 오뚜기 맛있는계란1개, 오뚜기 골드 마요네스2T, 소금1/5t, 오뚜기 블루베리쨈1T","다른쨈을 활용해도 좋아요!

Step 1 식빵의 테두리를 제외한 부분에 블루베리쨈을 바른다.

Step 2 테두리에 마요네스를 두르고, 중간에 계란을 올려 소금간 한다.

Step 3 에어후라이어 180도에 10분간 조리해 완성한다.",디저트,,기타,,,에어프라이어
고구마맛탕,"고구마3개, 오뚜기 프레스코 포도씨유2T, 설탕3T, 물3T, 오뚜기 요리용꿀1/2T, 오뚜기 옛날 볶음검은깨1t","Step 1 고구마는 껍질을 벗기고 먹기 좋은 크기로 토막낸다.

Step 2 고구마에 포도씨유를 고루 바른다.

Step 3 기름칠한 고구마는 에어프라이어에 180도 15분 조리한다.

Step 4 후라이팬에 설탕, 물, 포도씨유를 섞지 않고 녹여 시럽을 만든다.*시럽을 만들 때 기름을 넣으면 더 바삭하고 윤기나는 맛탕을 만들 수 있다.

Step 5 시럽이 끓으면 고구마를 넣고 빠르게 섞어 코팅한다.

Step 6 꿀과 깨를 넣고 한번 더 고르게 섞는다.

Step 7 약간의 기름을 접시에 바르고 고구마맛탕을 담아 완성한다.",디저트,기타,"조림, 튀김","야식, 간식",,"에어프라이어, 후라이팬"
쵸코하드바,"오뚜기 핫쵸코3개, 우유300ml, [60g], 오뚜기 올리고당1T, 쵸코칩2T","집에서 간편하게 만드는 쵸코하드바 레시피입니다. 떠먹는 아이스크림보다 단단한 식감이라서 좀 더 시원한 느낌이에요. 어떤 모양의 아이스크림틀을 사용하느냐에 따라 다양한 모양으로 만들어볼 수 있어요. 이번 주말, 아이들이 좋아하는 캐릭터 모양으로 함께 만들어 보는 것은 어떨까요?

Step 1 우유를 전자레인지에 1분 30초간 데운다.

Step 2 데운 우유에 올리고당, 핫쵸코를 섞는다.

Step 3 아이스크림틀에 (2)를 1/8만큼 넣는다.

Step 4 쵸코칩을 살짝 뿌린다.

Step 5 스틱 막대를 꽂고 냉동실에 3시간 얼려 완성한다.",디저트,유제품,기타,"간식, 키즈셰프, 키즈푸드, 셰프의 팁! 간편식 업그레이드",,"전자레인지, 기타"
